dataset,metric,threshold,similarity
pvivax,Ego1Edges,0.92,0.8909370199692781
pvivax,Ego1Edges,0.91,0.8909370199692781
pvivax,Ego1Edges,0.19,0.0
pvivax,Ego1Edges,0.9,0.8909370199692781
pvivax,Ego1Edges,0.89,0.8909370199692781
pvivax,Ego1Edges,0.18,0.0
pvivax,Ego1Edges,0.17,0.0
pvivax,Ego1Edges,0.16,0.0
pvivax,Ego1Edges,0.15,0.0
pvivax,Ego2Nodes,0.2,0.24577572964669742
pvivax,Ego2Nodes,0.21,0.24577572964669742
pvivax,Ego2Nodes,0.22,0.2764976958525346
pvivax,Ego2Nodes,0.23,0.24577572964669742
pvivax,Ego2Nodes,0.24,0.24577572964669742
pvivax,Ego2Nodes,0.25,0.2764976958525346
pvivax,Ego2Nodes,0.26,0.24577572964669742
pvivax,Ego2Nodes,0.27,0.2764976958525346
pvivax,Ego2Nodes,0.28,0.2764976958525346
pvivax,Ego2Nodes,0.29,0.24577572964669742
pvivax,Ego2Nodes,0.3,0.2764976958525346
pvivax,Ego2Nodes,0.31,0.2764976958525346
pvivax,Ego2Nodes,0.32,0.2764976958525346
pvivax,Ego2Nodes,0.33,0.2764976958525346
pvivax,Ego2Nodes,0.34,0.2764976958525346
pvivax,Ego2Nodes,0.35,0.2764976958525346
pvivax,Ego2Nodes,0.36,0.2764976958525346
pvivax,Ego2Nodes,0.37,0.2764976958525346
pvivax,Ego2Nodes,0.38,0.30721966205837176
pvivax,Ego2Nodes,0.39,0.30721966205837176
pvivax,Ego2Nodes,0.4,0.39938556067588327
pvivax,Ego2Nodes,0.41,0.39938556067588327
pvivax,Ego2Nodes,0.42,0.39938556067588327
pvivax,Ego2Nodes,0.43,0.39938556067588327
pvivax,Ego2Nodes,0.44,0.39938556067588327
pvivax,Ego2Nodes,0.45,0.39938556067588327
pvivax,Ego2Nodes,0.46,0.39938556067588327
pvivax,Ego2Nodes,0.47,0.39938556067588327
pvivax,Ego2Nodes,0.48,0.39938556067588327
pvivax,Ego2Nodes,0.49,0.39938556067588327
pvivax,Ego2Nodes,0.5,0.39938556067588327
pvivax,Ego2Nodes,0.51,0.39938556067588327
pvivax,Ego2Nodes,0.52,0.39938556067588327
pvivax,Ego2Nodes,0.53,0.46082949308755766
pvivax,Ego2Nodes,0.54,0.4301075268817205
pvivax,Ego2Nodes,0.55,0.4301075268817205
pvivax,Ego2Nodes,0.56,0.46082949308755766
pvivax,Ego2Nodes,0.57,0.46082949308755766
pvivax,Ego2Nodes,0.58,0.46082949308755766
pvivax,Ego2Nodes,0.59,0.39938556067588327
pvivax,Ego2Nodes,0.6,0.4301075268817205
pvivax,Ego2Nodes,0.61,0.46082949308755766
pvivax,Ego2Nodes,0.62,0.5837173579109064
pvivax,Ego2Nodes,0.63,0.5529953917050692
pvivax,Ego2Nodes,0.64,0.522273425499232
pvivax,Ego2Nodes,0.65,0.6144393241167435
pvivax,Ego2Nodes,0.66,0.6451612903225807
pvivax,Ego2Nodes,0.72,0.6758832565284179
pvivax,Ego2Nodes,0.73,0.7680491551459294
pvivax,Ego2Nodes,0.74,0.7680491551459294
pvivax,Ego2Nodes,0.75,0.860215053763441
pvivax,Ego2Nodes,0.76,0.8294930875576038
pvivax,Ego2Nodes,0.77,0.860215053763441
pvivax,Ego2Nodes,0.78,0.9831029185867897
pvivax,Ego2Nodes,0.71,0.7987711213517665
pvivax,Ego2Nodes,0.79,0.9523809523809524
pvivax,Ego2Nodes,0.8,0.9216589861751153
pvivax,Ego2Nodes,0.81,0.9216589861751153
pvivax,Ego2Nodes,0.82,0.8909370199692781
pvivax,Ego2Nodes,0.7,0.7066052227342551
pvivax,Ego2Nodes,0.83,0.8909370199692781
pvivax,Ego2Nodes,0.67,0.6451612903225807
pvivax,Ego2Nodes,0.69,0.6758832565284179
pvivax,Ego2Nodes,0.68,0.6758832565284179
pvivax,Ego2Nodes,0.84,0.8909370199692781
pvivax,Ego2Nodes,0.85,0.860215053763441
pvivax,Ego2Nodes,0.86,0.860215053763441
pvivax,Ego2Nodes,0.87,0.7373271889400922
pvivax,Ego2Nodes,0.99,0.3379416282642089
pvivax,Ego2Nodes,0.88,0.6451612903225807
pvivax,Ego2Nodes,0.98,0.4301075268817205
pvivax,Ego2Nodes,0.95,0.46082949308755766
pvivax,Ego2Nodes,0.97,0.39938556067588327
pvivax,Ego2Nodes,0.96,0.46082949308755766
pvivax,Ego2Nodes,0.94,0.49155145929339483
pvivax,Ego2Nodes,0.93,0.522273425499232
pvivax,Ego2Nodes,0.92,0.49155145929339483
pvivax,Ego2Nodes,0.91,0.46082949308755766
pvivax,Ego2Nodes,0.19,0.24577572964669742
pvivax,Ego2Nodes,0.9,0.49155145929339483
pvivax,Ego2Nodes,0.89,0.5529953917050692
pvivax,Ego2Nodes,0.18,0.24577572964669742
pvivax,Ego2Nodes,0.17,0.2764976958525346
pvivax,Ego2Nodes,0.16,0.18433179723502305
pvivax,Ego2Nodes,0.15,0.18433179723502305
pvivax,EgoRatio,0.2,0.9216589861751153
pvivax,EgoRatio,0.21,0.9523809523809524
pvivax,EgoRatio,0.22,0.9523809523809524
